status,issue,best
Satisfactory,validation-467,2
Satisfactory,validation-501,1
Unsatisfactory,validation-602,0
Unsatisfactory,validation-187,0
Unsatisfactory,validation-90,0
Unsatisfactory,validation-622,0
Unsatisfactory,validation-483,0
Unsatisfactory,validation-304,0
Unsatisfactory,validation-79,0
Unsatisfactory,validation-45,0
Satisfactory,validation-132,8
Satisfactory,validation-569,1
Satisfactory,validation-525,1
Satisfactory,validation-420,0
Satisfactory,validation-409,0
Satisfactory,validation-237,0
Satisfactory,validation-170,0
Unsatisfactory,validation-535,0
Unsatisfactory,validation-528,0
Unsatisfactory,validation-383,0
Unsatisfactory,validation-382,0
Unsatisfactory,validation-318,0
Unsatisfactory,validation-290,0
Unsatisfactory,validation-252,0
Unsatisfactory,validation-138,0
Unsatisfactory,validation-643,0
Unsatisfactory,validation-380,0
Unsatisfactory,validation-204,0
Unsatisfactory,validation-554,0
Unsatisfactory,validation-458,0
Unsatisfactory,validation-62,0
Unsatisfactory,validation-61,0
Unsatisfactory,validation-60,0
Unsatisfactory,validation-59,0
Unsatisfactory,validation-641,0
Unsatisfactory,validation-629,0
Unsatisfactory,validation-575,0
Unsatisfactory,validation-457,0
Unsatisfactory,validation-398,0
Unsatisfactory,validation-332,0
Unsatisfactory,validation-296,0
Unsatisfactory,validation-242,0
Unsatisfactory,validation-171,0
Unsatisfactory,validation-168,0
Unsatisfactory,validation-141,0
Unsatisfactory,validation-114,0
Unsatisfactory,validation-53,0
Unsatisfactory,validation-52,0
Unsatisfactory,validation-10,0
Unsatisfactory,validation-9,0
Unsatisfactory,validation-7,0
Unsatisfactory,validation-3,0
Unsatisfactory,validation-2,0
Unsatisfactory,findings-45,0
Unsatisfactory,validation-547,0
Unsatisfactory,validation-436,0
Unsatisfactory,validation-435,0